Link ,t ,Path,Min or Max
1,-6,0,Min
1,-5.75,1,Min
1,-5.5,2,Min
1,-5.25,3,Min
1,-5,4,Min
1,-4.75,5,Min
1,-4.5,6,Min
1,-4.25,7,Min
1,-4,8,Min
1,-3.75,9,Min
1,-3.5,10,Min
1,-3.25,11,Min
1,-3,12,Min
1,-2.75,13,Min
1,-2.5,14,Min
1,-2.25,15,Min
1,-2,16,Min
1,-1.75,17,Min
1,-1.5,18,Min
1,-1.25,19,Min
1,-1,20,Min
1,-0.75,21,Min
1,-0.5,22,Min
1,-0.25,23,Min
1,0,24,Min
1,0.25,25,Min
1,0.5,26,Min
1,0.75,27,Min
1,1,28,Min
1,1.25,29,Min
1,1.5,30,Min
1,1.75,31,Min
1,2,32,Min
1,2.25,33,Min
1,2.5,34,Min
1,2.75,35,Min
1,3,36,Min
1,3.25,37,Min
1,3.5,38,Min
1,3.75,39,Min
1,4,40,Min
1,4.25,41,Min
1,4.5,42,Min
1,4.75,43,Min
1,5,44,Min
1,5.25,45,Min
1,5.5,46,Min
1,5.75,47,Min
1,6,48,Min
1,6,49,Max
1,5.75,50,Max
1,5.5,51,Max
1,5.25,52,Max
1,5,53,Max
1,4.75,54,Max
1,4.5,55,Max
1,4.25,56,Max
1,4,57,Max
1,3.75,58,Max
1,3.5,59,Max
1,3.25,60,Max
1,3,61,Max
1,2.75,62,Max
1,2.5,63,Max
1,2.25,64,Max
1,2,65,Max
1,1.75,66,Max
1,1.5,67,Max
1,1.25,68,Max
1,1,69,Max
1,0.75,70,Max
1,0.5,71,Max
1,0.25,72,Max
1,0,73,Max
1,-0.25,74,Max
1,-0.5,75,Max
1,-0.75,76,Max
1,-1,77,Max
1,-1.25,78,Max
1,-1.5,79,Max
1,-1.75,80,Max
1,-2,81,Max
1,-2.25,82,Max
1,-2.5,83,Max
1,-2.75,84,Max
1,-3,85,Max
1,-3.25,86,Max
1,-3.5,87,Max
1,-3.75,88,Max
1,-4,89,Max
1,-4.25,90,Max
1,-4.5,91,Max
1,-4.75,92,Max
1,-5,93,Max
1,-5.25,94,Max
1,-5.5,95,Max
1,-5.75,96,Max
1,-6,97,Max
